순위,곡명,가수명
1,퀸카 (Queencard),(여자)아이들
2,I AM,IVE (아이브)
3,Spicy,aespa
4,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
5,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
6,Kitsch,IVE (아이브)
7,사랑은 늘 도망가,임영웅
8,헤어지자 말해요,박재정
9,모래 알갱이,임영웅
10,Hype boy,NewJeans
11,우리들의 블루스,임영웅
12,다시 만날 수 있을까,임영웅
13,손오공,세븐틴 (SEVENTEEN)
14,꽃,지수 (JISOO)
15,Ditto,NewJeans
16,무지개,임영웅
17,London Boy,임영웅
18,이제 나만 믿어요,임영웅
19,Polaroid,임영웅
20,아버지,임영웅
21,Cupid,FIFTY FIFTY
22,인생찬가,임영웅
23,OMG,NewJeans
24,A bientot,임영웅
25,손이 참 곱던 그대,임영웅
26,사랑해 진짜,임영웅
27,연애편지,임영웅
28,사건의 지평선,윤하 (YOUNHA)
29,I Don't Think That I Like Her,Charlie Puth
30,Candy,NCT DREAM
31,Dangerously,Charlie Puth
32,Allergy,(여자)아이들
33,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
34,After LIKE,IVE (아이브)
35,Attention,NewJeans
36,Dynamite,방탄소년단
37,LOVE DIVE,IVE (아이브)
38,보금자리,임영웅
39,Teddy Bear,STAYC(스테이씨)
40,물론,허각
41,심(心),DK(디셈버)
42,사랑하지 않아서 그랬어,임한별
43,Butter,방탄소년단
44,ANTIFRAGILE,LE SSERAFIM (르세라핌)
45,사랑..그게 뭔데,지아
46,Take Two,방탄소년단
47,사람 Pt.2 (feat. 아이유),Agust D
48,봄날,방탄소년단
49,Like Crazy,지민
50,사랑인가 봐,멜로망스
51,잠깐 시간 될까,이무진
52,Broken Melodies,NCT DREAM
53,Permission to Dance,방탄소년단
54,나에게 그대만이,탑현
55,너의 모든 순간,성시경
56,Heaven(2023),임재현
57,NIGHT DANCER,imase
58,빛이 나는 너에게,던 (DAWN)
59,The Planet,방탄소년단
60,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
61,HARD,SHINee (샤이니)
62,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
63,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
64,Thirsty,aespa
65,"Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)",Fast & Furious: The Fast Saga
66,That's Hilarious,Charlie Puth
67,찬란한 하루,멜로망스
68,KNOCK,이채연
69,STAY,The Kid LAROI
70,첫 키스에 내 심장은 120BPM,경서
71,TOMBOY,(여자)아이들
72,Nxde,(여자)아이들
73,사랑의 바보,제이세라
74,부동의 첫사랑,10CM
75,해요 (2022),#안녕
76,취중고백,김민석 (멜로망스)
77,나의 바람 (Wind And Wish),비투비
78,안녕이라고 말하지마,V.O.S
79,한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),이홍기 (FT아일랜드)
80,on the street (with J. Cole),j-hope
81,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
82,사랑하기 싫어,지아
83,Monologue,테이
84,그라데이션,10CM
85,CHRISTIAN,Zior Park
86,FRIEND THE END,볼빨간사춘기
87,사랑하지 않아서 그랬니,지아
88,Love Me Like This,NMIXX
89,다정히 내 이름을 부르면,경서예지
90,한강에서 (Feat. BIG Naughty),폴킴
91,그중에 그대를 만나,김호중
92,ELEVEN,IVE (아이브)
93,FEARLESS,LE SSERAFIM (르세라핌)
94,Shut Down,BLACKPINK
95,LOCKDOWN,이세계아이돌
96,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
97,내가 아니라도,주호
98,Say I Love You,우디 (Woody)
99,Pink Venom,BLACKPINK
100,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
